product_detail_fsn,Cuft_per_Unit
ACCFWSKQJ8GS6DA7,0.01109285378
ACCFWSKQJ8GS6DA7,0.01109285378
ACCFWWRF8RZXHHNF,0.01639237704
ACCFWWRF8RZXHHNF,0.01639237704
ACCFWYYC7U2JHDTT,0.05576823905
ACCFWYYC7U2JHDTT,0.05576823905
ACCFXCHH3TUPQYMP,0.1154503834
ACCFXCHHGTCAPQBE,0.1222379227
ACCFXESJGGGT3DHC,0.02587583839
ACCFXESJHYHZS6MS,0.04825741069
ACCFXT7NGZQFW694,0.002560716155
ACCFY5U4UQQFMHVF,0.493998324
ACCFY5U4UQQFMHVF,0.493998324
ACCFYF5NDKHEBZZH,0.06329078693
ACCFYF5NDKHEBZZH,0.06329078693
ACCFYFWJKHZ2EYES,0.01840174888
ACCFYZ54RZZHGXRF,0.0159514702
ACCFZ552CD5VPNFQ,0.100752462
ACCFZ95M5JTZQH3F,0.03075978612
ACCFZ95M5JTZQH3F,0.03075978612
ACCFZ95MTQSX7NFD,0.02760135877
ACCFZ95MY8SGZQRT,0.03428113966
ACCFZECVEJFT5BDS,0.08084701418
ACCFZECVEJFT5BDS,0.08084701418
ACCFZPG3ZSNQG4W8,0.05827494465
ACCFZPG3ZSNQG4W8,0.06115369543
ACCG25T4GTENPNFN,0.01887216192
ACCG25T4HNWQJWBB,2.47E-02
ACCG25T4HNWQJWBB,0.02472624077
ACCG25T4HNWQJWBB,0.02472624077
ACCG2VE3KHJ2FPVU,0.01219698587
ACCG2VE3KHJ2FPVU,0.01219698587
ACCG2VEAQBRJHGSS,0.01097771938
ACCG38FYYGXHHRZ8,2.01E-02
ACCG38FYYGXHHRZ8,0.02010235947
ACCG38FYYGXHHRZ8,0.02010235947
ACCG39JBZPVGFCNY,0.01821712126
ACCG3FE4FHG8VH3U,0.02286600801
ACCG3FE4FYCHZ3U2,0.02076336245
ACCG3FE4JBTFNZKG,0.02275353778
ACCG3FE4S2JFUGBK,0.02212964578
ACCG3FE4SN2PQKHZ,0.02534722603
ACCG3FE4ZJAQPY2J,0.02456479713
ACCG3HNVSZJCCHEG,0.02371412842
ACCG3Y5YNHVGZDRE,0.03308222091
ACCG43UYES5YAHMJ,0.043928578
ACCG43UYES5YAHMJ,0.043928578
ACCG466A3F8TQDBH,0.01949549691
ACCG466A3F8TQDBH,0.01949549691
ACCG466DPZHYEHM9,0.001957112682
ACCG466DPZHYEHM9,0.00236511692
ACCG466PKC5ZSEVV,5.09E-03
ACCG466RVZJWKQMX,0.006449211056
ACCG466RVZJWKQMX,0.004843775203
ACCG466VBPZZ8GJR,0.003567931176
ACCG466VBPZZ8GJR,0.005013945458
ACCG467YYH9MJYWF,0.002897929805
ACCG467YYH9MJYWF,0.003463465197
ACCG4RBWG8TWZRY9,0.01783017174
ACCG4RBWG8TWZRY9,0.01783017174
ACCG4TGBHRMFKZ3W,0.1175162874
ACCG4YHPBNUFFPGH,0.01853210303
ACCG5DKG6MJEZJCF,0.01953028017
ACCG5DKG6MJEZJCF,0.01953028017
ACCG5ECTSSNTX9KZ,0.1355396545
ACCG5ECTXHHUERA5,0.1260062031
ACCG5GW39BFZMHD6,0.02319639832
ACCG5GW3HWQSQERA,0.02869773926
ACCG5GW3HWQSQERA,0.02869773926
ACCG5GW3T8DDDWZZ,0.02524311039
ACCG5GW3T8DDDWZZ,0.02524311039
ACCG5NFKBFFJ3XX4,0.01876931176
ACCG5NFKBFFJ3XX4,0.01876931176
